Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
Epoch 11 | Batch 600/680 | Time/Batch(ms) 313.88 | Train Loss 0.5850
Epoch 11 | Batch 630/680 | Time/Batch(ms) 317.25 | Train Loss 0.6204
Epoch 11 | Batch 660/680 | Time/Batch(ms) 311.96 | Train Loss 0.6297
--------------------------------------------------
Epoch 11 | Time 239.6031 sec | Valid Loss 0.6145 | Test Loss 0.6202
--------------------------------------------------
Epoch 12 | Batch  30/680 | Time/Batch(ms) 322.70 | Train Loss 0.5734
Epoch 12 | Batch  60/680 | Time/Batch(ms) 314.24 | Train Loss 0.5975
Epoch 12 | Batch  90/680 | Time/Batch(ms) 313.65 | Train Loss 0.6071
Epoch 12 | Batch 120/680 | Time/Batch(ms) 314.01 | Train Loss 0.5767
Epoch 12 | Batch 150/680 | Time/Batch(ms) 315.68 | Train Loss 0.6205
Epoch 12 | Batch 180/680 | Time/Batch(ms) 314.19 | Train Loss 0.6174
Epoch 12 | Batch 210/680 | Time/Batch(ms) 315.73 | Train Loss 0.6144
Epoch 12 | Batch 240/680 | Time/Batch(ms) 315.05 | Train Loss 0.5530
Epoch 12 | Batch 270/680 | Time/Batch(ms) 313.80 | Train Loss 0.6068
Epoch 12 | Batch 300/680 | Time/Batch(ms) 314.38 | Train Loss 0.6268
Epoch 12 | Batch 330/680 | Time/Batch(ms) 315.06 | Train Loss 0.5991
Epoch 12 | Batch 360/680 | Time/Batch(ms) 314.34 | Train Loss 0.5775
Epoch 12 | Batch 390/680 | Time/Batch(ms) 313.85 | Train Loss 0.5964
Epoch 12 | Batch 420/680 | Time/Batch(ms) 316.89 | Train Loss 0.6387
Epoch 12 | Batch 450/680 | Time/Batch(ms) 313.19 | Train Loss 0.6469
Epoch 12 | Batch 480/680 | Time/Batch(ms) 313.33 | Train Loss 0.6035
Epoch 12 | Batch 510/680 | Time/Batch(ms) 312.77 | Train Loss 0.6092
Epoch 12 | Batch 540/680 | Time/Batch(ms) 311.68 | Train Loss 0.6154
Epoch 12 | Batch 570/680 | Time/Batch(ms) 312.79 | Train Loss 0.6304
Epoch 12 | Batch 600/680 | Time/Batch(ms) 314.06 | Train Loss 0.6361
Epoch 12 | Batch 630/680 | Time/Batch(ms) 311.58 | Train Loss 0.5885
Epoch 12 | Batch 660/680 | Time/Batch(ms) 315.19 | Train Loss 0.6097
--------------------------------------------------
Epoch 12 | Time 240.1325 sec | Valid Loss 0.6471 | Test Loss 0.6458
--------------------------------------------------
Epoch 13 | Batch  30/680 | Time/Batch(ms) 325.44 | Train Loss 0.6044
Epoch 13 | Batch  60/680 | Time/Batch(ms) 313.92 | Train Loss 0.6286
Epoch 13 | Batch  90/680 | Time/Batch(ms) 315.60 | Train Loss 0.6214
Epoch 13 | Batch 120/680 | Time/Batch(ms) 316.85 | Train Loss 0.5680
Epoch 13 | Batch 150/680 | Time/Batch(ms) 317.58 | Train Loss 0.6190
Epoch 13 | Batch 180/680 | Time/Batch(ms) 316.05 | Train Loss 0.6128
Epoch 13 | Batch 210/680 | Time/Batch(ms) 314.44 | Train Loss 0.5616
Epoch 13 | Batch 240/680 | Time/Batch(ms) 316.51 | Train Loss 0.6080
Epoch 13 | Batch 270/680 | Time/Batch(ms) 317.22 | Train Loss 0.6070
Epoch 13 | Batch 300/680 | Time/Batch(ms) 313.18 | Train Loss 0.5797
Epoch 13 | Batch 330/680 | Time/Batch(ms) 315.51 | Train Loss 0.6292
Epoch 13 | Batch 360/680 | Time/Batch(ms) 312.80 | Train Loss 0.5765
Epoch 13 | Batch 390/680 | Time/Batch(ms) 315.06 | Train Loss 0.6082
Epoch 13 | Batch 420/680 | Time/Batch(ms) 313.42 | Train Loss 0.6126
Epoch 13 | Batch 450/680 | Time/Batch(ms) 313.11 | Train Loss 0.5762
Epoch 13 | Batch 480/680 | Time/Batch(ms) 311.61 | Train Loss 0.6068
Epoch 13 | Batch 510/680 | Time/Batch(ms) 314.47 | Train Loss 0.6327
Epoch 13 | Batch 540/680 | Time/Batch(ms) 314.38 | Train Loss 0.5935
Epoch 13 | Batch 570/680 | Time/Batch(ms) 313.45 | Train Loss 0.5926
Epoch 13 | Batch 600/680 | Time/Batch(ms) 311.34 | Train Loss 0.5998
Epoch 13 | Batch 630/680 | Time/Batch(ms) 315.41 | Train Loss 0.6248
Epoch 13 | Batch 660/680 | Time/Batch(ms) 313.22 | Train Loss 0.5878
--------------------------------------------------
Epoch 13 | Time 240.2363 sec | Valid Loss 0.6129 | Test Loss 0.6188
--------------------------------------------------
Epoch 14 | Batch  30/680 | Time/Batch(ms) 327.58 | Train Loss 0.6100
Epoch 14 | Batch  60/680 | Time/Batch(ms) 313.82 | Train Loss 0.6423
Epoch 14 | Batch  90/680 | Time/Batch(ms) 313.95 | Train Loss 0.5637
Epoch 14 | Batch 120/680 | Time/Batch(ms) 311.70 | Train Loss 0.6032
Epoch 14 | Batch 150/680 | Time/Batch(ms) 313.55 | Train Loss 0.5905
